Comment,Time
"Good grief. So, suddenly the left, progressives, whatever, have decided that they're going to upend everything that has been true since beginning of human history, because it furthers their loony agenda. The question is simple, simple, straightforward and honest....what is a woman? And these smug condescending liberals REFUSE to answer it. This guy David was just insufferable here!",2022-04-12T13:38:22Z
David is so dishonest in the way he misconstrues what Michael says,2022-04-12T13:00:16Z
"All these conservatives act like they don't have homosexuals and transsexuals in thier families, no empathy for people sad.",2022-04-12T01:38:41Z
I remember when this guy was a progressive apologist still honest and tethered to reality. Guess his side went too far and he had to go full Disney to keep his audience lol,2022-04-12T01:09:18Z
"'I don't do definitions, I do politics'? I'm not even a conservative, but that was bad.",2022-04-12T00:18:51Z
OMG who the h-ll cares?!,2022-04-11T22:21:29Z
Knowles doesnt have either. Hes smooth and hairless,2022-04-11T22:16:02Z
"Man, you know nothing about philosophy... and knowledge. Definition is the basis of the western way of thinking. If you do not have a shared understanding of the things we are discussing, there's no common ground to have a discussion.",2022-04-11T19:22:14Z
"Can’t you just say that there are “men”, “women”, and “other”?'Men are born with penises and produce sperm at puberty, women are born with vaginas and produce eggs at puberty. Everything else is “other”.''Seems simple enough.",2022-04-11T18:17:12Z
I can't believe how utterly brain dead some of the people in these comments are,2022-04-11T17:48:42Z
"David your ridiculous, your no where near as smart as you think you are.",2022-04-11T16:58:29Z
I’m always intrigued by how the tone of the conversation is presented on the front end.  To try and position oneself as smarter and the other as dishonest or ignorant is not likely going to lead to a humble discussion around different points of views.,2022-04-11T15:54:04Z
You are a joke! Definitions have never mattered in the courts? That is a lie! Leftists want all definitions to disappear. Mike gave specific points as to WHY a legal/philosophical definition matters in this case and this bozo two danced and emotion ed around providing a response. I want to watch him tap dance stour her pro pedo history!,2022-04-11T14:39:10Z
Disappointed with Knowles to be honest.   He tried so hard to be polite that he ended coming across like a person star struck. He shld have roasted you.,2022-04-11T13:59:47Z
Was this an argument between basic reason and smugness? Michael has a valid point and I did rewind the tape and Michael never said what David claimed he did. David seems like he smells his own farts....,2022-04-11T12:09:05Z
' I don't do definitions' that was a nice way of weaseling out of the question you could have just said no,2022-04-11T11:44:55Z
"The entire interview was on a single word, and he was smiling big the whole time like a kid who stole a candy bar from a baby. that guy has problems.",2022-04-11T11:14:13Z
How do they live with themselves being so cognitively dissonant. I'm starting to think it's not incompetence but malice at this point !!,2022-04-11T08:49:24Z
"Wow, that guy’s actually serious!?",2022-04-11T07:19:17Z
Legal definitions absolutely matter. If there were no legal definition of man or woman than there couldn’t be any laws tailored to them. There is a discernible difference between the two that for all of human history people were comfortable answering. If a man wants to transition to feel like a woman he has every right to. But in the eyes of the law he must be treated as a man.,2022-04-11T05:26:32Z
People like Pakman are the worst. They act and argue like absolute children. Always rude and smug when talking to those who have other viewpoints. And yet Michael is so respectful and stoic. Pakman Refuses to see other points of view. People who act like this hold themselves back mentally and intellectually. When they run out of logic they just resort to insults and disrespect.,2022-04-11T05:20:44Z
Why is this gay progressive being recommended to me,2022-04-11T03:20:53Z
"Damn, imagine getting owned in your own comments section. Oh wait, you don’t have to.",2022-04-11T03:09:00Z
"Kudos for appearing on the show, but refusing to define essential words is not a winning position.",2022-04-11T00:20:29Z
This 'Michael' is such a stereptypical rightwing pundit it's not funny.,2022-04-10T23:47:07Z
"No, she's a moderate right-Centrist Democrat. And no, if she said that a woman was anyone who claimed they were, a majority of Americans would NOT disagree.",2022-04-10T23:39:58Z
Kaveba did not answer if he sexually assaulted the woman he assisted drunk .,2022-04-10T20:24:08Z
The klux Klan and Right wing supremacy and mysogeni is strong on this one,2022-04-10T20:18:09Z
Republicans and democrats are such a joke. You have to be a idiot to keep voting for the 2 parties that have destroyed this country.,2022-04-10T20:00:30Z
Lol David once again ignorant to his own shortcomings in this one. Daily Wire is having you on which is way more than I can say for these liberal outlets.,2022-04-10T19:39:33Z
"'https://youtu.be/15taBY1ynyg"">https://youtu.be/15taBY1ynyg'",2022-04-10T18:05:01Z
David is quite smug and incapable of noticing when he's losing.,2022-04-10T17:41:01Z
Amazing self-own.''I don't do definitions' -&gt; 'I don't value conveying thoughts'''I do politics' -&gt; 'I engage in rhetoric',2022-04-10T16:52:17Z
I actually did rewind and it turns out Michael did not say what this dummy keeps asserting he did and encouraging me to rewind.,2022-04-10T16:11:57Z
'I don't do dictionary; I do politics.' 'I have a degree in poli sci (no one's perfect) where you're taught to define terms so you don't talk past each other.,2022-04-10T15:18:05Z
"Wow, I haven't seen someone make David Iook that intellectually dishonest since Destiny about the Rittenhouse trial.",2022-04-10T14:56:52Z
"Dictionary definitions don't count, especially when the left can change the definition at will.",2022-04-10T13:47:20Z
"This is why I don’t watch the David pakman show anymore. Leftist or progressives are smug, ACT too elite and use insults to make themselves feel like they win debates and it’s very is very off putting. Calling Michael Knowles ignorant or crazy right off the bat told me that pakman was going to lose this debate. And comparing Jesse lee Peterson to Michael Knowles is way off!",2022-04-10T12:39:24Z
"I was in a classical Socratic program in high school and one of the first things we were taught when it comes to dialogue/debate is to define your terms (ironically, dictionary definitions were expressly forbidden). Without definition, conversations absolutely cannot be had in good faith. I totally fail to see your point here David.",2022-04-10T12:39:04Z
"Having pondered Marsha Blackburn's question for a while, I offer this definition of a woman: 'A person whose right it is to choose.' No dodgy gender pronouns, no problematic biological explanations, but a statement of power and equality.",2022-04-10T11:14:25Z
How does a SCJ give an opinion on Roe v Wade without being able to define what is a woman?,2022-04-10T09:56:52Z
"Funny Now Russian Economy is getting better no thanks to Biden Stupidity and Democrats'Us dollar is beginning to be Useless thanks to Biden inflation 'And they Scream Republican As Fascist, when They are helping Communist Gaining power by their Present Actions",2022-04-10T09:51:13Z
"Liberals are truly gone insane.   They can't no longer tell what is a woman or a Man ?  Truly,  frightening. Malcolm X had such a contempt for liberals. Especially, white liberals.",2022-04-10T06:39:44Z
"Men are not women, women are not men. No amount of hormone 'therapy' or plastic surgery aka mutilation will change that. Men don't bear children. Ground-truths that were true, are true and will be true.''Society has never been more narcissistic. There have always been crazy people out there, but social media, group-think and group-identity created a mind-virus that will eventually lead to physical conflict if it spreads. If nothing is true anymore, if people can't agree on the simplest things, then there is nothing to talk about anymore.''Nature is cruel. It has no interest in some individual's feelings. It's survival of the fittest. The environment has shaped and crystallized the most resilient attributes and roles in order to maximize survival probabilities. Men and women are different and that is ok. Sane people accept reality, whether they like it or not. Insane people pretend they can change what cannot be changed and try to force others to accept it. Not gonna happen.",2022-04-10T04:58:18Z
Yuck...this guy's disgusting.  Why did Michael give him any amount of time.  Worthless,2022-04-10T04:37:08Z
He's right you guys aren't listening. There is not a legal definition of a gender and that's a culture war question nothing to do with she's qualified or not stupid,2022-04-10T03:10:12Z
Doesn't go well (for you),2022-04-10T02:22:10Z
'a woman is someone who is not a man' so a cat is a woman...,2022-04-10T02:01:33Z
"The absolute irony of a man who literally just said “I don’t do definitions” to avoid saying what a woman is only to say “we’re talking man to man” 30 seconds later…. So we can define man, but not woman? 🤨",2022-04-10T00:49:59Z
"If someone asked me “do you have a video of Michael Knowles tea-bagging David Pakman?” I would say “no such video exists, however THIS video is about as close as you’re gonna get.”",2022-04-09T22:37:25Z
David isn't taking Micheal bull crap! The devil is in the details and David is pointing it out with incredible precision. Its amazing really.,2022-04-09T21:49:34Z
"Sorry David, I went back and looked and Michael wasn’t backtracking",2022-04-09T20:48:29Z
"2 problems with David's position. First, saying isn't there anything else to talk about when gender identity seems to be all liberal progressive's talk about seems a bit hypocritical. Second, when he accused Michael of saying something, then kept repeating 'go back and listen' ... turns out he didn't say it.",2022-04-09T20:26:20Z
"If you cannot define what something is then you should not be talking about it. Rhetoric, sophistry, avoidance, and pandering is the only thing you will get with someone unable or unwilling to define a simple word.",2022-04-09T19:03:34Z
It seems many of David's fans are missing half their brain.,2022-04-09T17:33:36Z
'I don't do dictionary i do politics' How can you have a good faith political conversation when words have no definitive meaning? This seems like you don't ever want to come to any compromise or ever admit you are wrong when you can freely change what the words mean. Its also intellectual weak.,2022-04-09T17:11:25Z
The problem with you guys platforming the right is you inadvertently make them seem reasonable.,2022-04-09T15:58:00Z
AT ALL ENDS PEOPLE ARE FREE TO MAKE UP THEIR OWN MINDS  NOT BECAUSE OF THE BIBLE OR THE CONSTITUTION OR ANY PIECE OF PAPER WRITEN BY WHITE PEOPLE  OR A FASCIST AMERICAN COLONIAL COURT  PEOPLE WILL LIVE AS THEY CHOOSE NOT AS A COLONIAL EUROPEAN DICTATES !!!!!!!!!!!!!!!!!!!!!,2022-04-09T15:06:14Z
“There is no legal definition of woman”……hahahahahahha omfg you troll.,2022-04-09T14:38:16Z
I don't think the law exists outside of words...it's not pure mathematics. Asserting new definitions of key words amidst legal interpretation without disclosing how you are redefining those words would quickly lead to incoherent deadlocks.,2022-04-09T14:19:51Z
A woman is an adult human female with XX chromosomes from birth. Plain and simple.,2022-04-09T13:57:33Z
"Holy crap David. Listen to 'https://www.youtube.com/watch?v=dwOSlwtyA_M't=6m36s"">6:36' again, with your ears open please. Michael was listing all of the different types of perspectives that would have been accepted. He was not saying she was asked to give all of those perspectives. You are a native English speaker, correct? Start acting like it. And next time in a real-time conversation, be willing to accept clarifications without assuming malice. Misphrasings happen. Misunderstandings happen. Especially in real-time conversations.",2022-04-09T12:41:34Z
"@'https://www.youtube.com/watch?v=dwOSlwtyA_M't=9m32s"">9:32'  David’s look of victory :) nice job on the win here. Definitely a point",2022-04-09T11:30:33Z
David is an insufferable D-Hole.''He must believe he's the smartest person in any crowd.,2022-04-09T10:38:17Z
'EVERYONE' DO NOT SIT AROUND GETTING IN OTHER FOLKS BUSINESS or Sit Around THINKING OF OTHER FOLKS PRIVATE PARTS!  WHAT BUSINESS IS THIS TO 'ANYONE' IN THE FIRST PLACE?? Worry About YOUR OWN and BE A GOOD NEIGHBOR!!! NOT A BUSY BODY GOSSIP!!,2022-04-09T10:31:57Z
Neither one of these 'Men' even asked 'Why do 'women' NEED to have laws for protection or 'HAVE A DEFINITION'  in the first place?:,2022-04-09T10:27:51Z
I am wondering why the guy did not ask a 'Woman' Progressive to answer his so important question concerning ''What is a woman'.,2022-04-09T10:25:17Z
"Bad luck, at least you were brave enough to go on the show. I think if you come up with a definition people will be more likely to listen.",2022-04-09T09:36:24Z
"You shouldn’t define those silly words. No, language only helps shape our politics, our education, and our general way of life. We don’t need any pesky definitions around here. Words are just whatever you want. There’s no objective meaning, and no objective truth. ''If this is your argument, you have lost.",2022-04-09T06:34:22Z
Wow you actually out this up on your channel? You look like a complete fool. Especially the “man to man” comment. You can’t even define what that even means,2022-04-09T06:30:37Z
"Gotta love the condescending self-centred tone people use when they shut off any openness to a different opinion. Micheal displayed a willingness to agree with some of your points, and yet you refuse to even concede on the most basic fundamental points. (like that the law has to have a legal definition for a woman)",2022-04-09T06:02:27Z
"definitions do matter but asking someone to define words purely in bad faith is not how you start a productive dialogue. I understand where Pakman is coming from, why bite the hook? Whats the point of trying to define something clearly no one agrees on. Clearly there is not a (as the right would love it) set in stone description of the word woman. Until then, if ever, its just terrible bad faith right wing politics.",2022-04-09T05:22:27Z
"If you don't understand the working definition of the words being used, you can't have a real conversation. Dictionaries are descriptive, as in that it expands over time based on how people talk, and it is prescriptive because people who don't know what the word is look it up and use the definition that is prescribed to them. And this title only makes sense if you're extremely arrogant and are a bad faith actor. Knowles is an idiot but he was perfectly cordial and there is no reason to think he was acting in bad faith.",2022-04-09T05:20:02Z
I did rewind and he definitely misheard or misunderstood Michael. Maybe I need to watch more from this guy but he came off as a condescending prick,2022-04-09T04:56:52Z
"Never really knew about Pakman before this clip. That said, if this video is an example of how he typically conducts himself, not only is he hard of hearing, but wow, the smuggery is just unbearable.",2022-04-09T04:08:06Z
"Big fan of the pack man, but this was embarrassing for him.",2022-04-09T02:52:14Z
The single most healing change in our politics would be for everyone to STOP thinking they are an expert in figuring out when others are acting 'in bad faith.',2022-04-09T02:23:08Z
"I truly hope Pakman and his ilk continue to shoot themselves in the foot by uploading videos they think make them look good. Michael came with an intention to talk, while David remained participating in bad faith. This was a waste.",2022-04-09T00:47:52Z
You lefties know this bs is wrong. Thats why you need to hide news and distort words,2022-04-09T00:40:47Z
What does the [It Doesn't Go Well] tag supposed to mean at the end of these video titles? My assumption is he's attempting to paint the right as unreasonably tribal and dogmatic? What exactly about this conversation with Michael Knowles did not go well?,2022-04-09T00:15:05Z
"Meh, this is one of those areas where I agree with conservatives. You can't redefine words to mean whatever you want them to mean. Exclusionary terms that help distinguish unique characteristics are not derogatory, and should be accepted as such.'Having a free license to change definitions to personal interpretation invalidates the very premise of contract law. 'If a judge nominated for SCOTUS fell for something this trivial, they shouldn't be working in any legal capacity.",2022-04-08T23:39:51Z
That smug laughing after he accused Michael of saying something that he didn't and then saying he's backtracking...mega cringe.,2022-04-08T23:18:24Z
"Without language aka words/definitions, then we can’t do laws aka politics. Saying you don’t do “definitions you do politics” makes about as much sense as a chef saying, I don’t do recipes, I do cooking.. it’s Just an obvious cop out.",2022-04-08T22:09:18Z
Imagine having David Pakman on the show and choosing to focus on a complete non issue.,2022-04-08T21:43:48Z
Pakman should delete this. Career damaging.,2022-04-08T21:33:37Z
"Did you know that no SCJ has ever been asked to define the word 'flag?' And yet, there they go making decisions about flag burning. Weird huh?",2022-04-08T21:26:40Z
Sounds like another one who can't define what a woman is. Amazing how this word has slipped out of the brains of leftists.,2022-04-08T21:21:59Z
Man to man!?!?!?!''You look like a GAF!!!!! Lol,2022-04-08T20:40:02Z
Didn't go well for Pakman. Not sure why he posted this,2022-04-08T20:07:51Z
"Can't say that what women are is all that mysterious to me, but I still like the fact that you went on and attempted to make a case.",2022-04-08T19:39:25Z
Does anybody watch pakman unironically. Serious question.,2022-04-08T19:04:27Z
"'I don't do definitions, I do politics ' a mindset straight out of 1984",2022-04-08T18:18:26Z
"Pakman would make a great politician, he's great at bullshitting, dodging and just being completely dishonest.",2022-04-08T17:49:36Z
😎 Woman is the individual instantiating the female sex. Female sex is the reproductive strategy which produce the bigger sexual cell of those who fuse together to give rise to a new individual. This cell is called 'egg' or 'ovum'.,2022-04-08T17:36:22Z
"David do you think you came off well in this conversation? Every time you get backed into a corner you punt and pull the bad faith card. Really sad to see, I thought you were intelligent.",2022-04-08T17:16:11Z
"yes, theres no legal definition of what a woman is because at no point in the history of humanity, not when we were cavemen, not 100 years ago, and even not 10 years ago, would anyone ever think we were gonna get to a point where we cant figure out something so basic as what a  woman is.",2022-04-08T16:32:15Z
Bad faith Dave back at it again. I’m surprised you didn’t ask Michael if he was autistic. Not surprised by the projection of more bad faith when you’re unwilling to engage in the hypothetical or provide 'literally any' definition of a woman. Can’t believe people take you seriously 🤷🏼‍♂️,2022-04-08T15:46:41Z
Definitions matter. If words have arbitrary meaning then rational discourse ceases to exist.,2022-04-08T15:34:50Z
People should know be able to say what a woman is. Madness.,2022-04-08T15:06:01Z
"I can't believe you actually uploaded this on your channel, to any normal person who is not part of the 8% of the population who identify as alt left (a more accurate label than their appropriated misnomer of progressive), to 92% of people this was a really bad look for you. your behavior and smugness despite being part of a tiny minority on this and many other major issues is why you guys feel the need to constantly lie about your positions, and why the best you can ever hope to get is a minority coalition government with the Democrat Party. But now their brand has been soiled by your extreme beliefs. The alt left has overplayed its extremist hand, you guys were finished the moment you couldn't help but make it clear to everyone that you are coming for their kids. But the outlast will never understand that because almost none of them have kids, and their overwhelming desire to indoctrinate other people's children. It's over, you have lost.",2022-04-08T15:05:38Z
why on earth would you advertise that you did poorly.  You don't define words? how big brained is that?!,2022-04-08T14:43:20Z
What is a woman? 🤪,2022-04-08T14:26:42Z
"Its probably the best tactic by David here to not answer a bad faith question not only because he is right but also because it most certainly triggers the con's. I'm still lost as to why its a bridge too far for con's to recognize that trans people exist - it really seems as though they are personally offended by 'women' or 'men' being a fluid thing.. The whole point of that movement includes them! Trans women are women, and so are cis women.. its not exclusionary, no one is being attacked, you can keep your personal values, like its really not a big deal or very interesting and yet somehow its the hill to die on for the con's... I can only assume because of some biblical aspect? I dont know.",2022-04-08T14:25:03Z
"It is ridiculous to have the court HAVE to hear oral arguments on what a woman is. It's now not a bad faith, rhetorical trick to ask what is an African American female. So what is next, re-hearing a reverse of the one drop rule in Loving v. Virginia? I think I might just start checking random boxes on college admission demographic questionnaires.",2022-04-08T12:03:36Z
I like to contrast against the Amy Coney Barrett's hearings. ACB would say 'I can't answer that because I might be called on to judge on the issue' or some such thing. KBJ did not go that route and instead chose to give an answer to the question posed to her.,2022-04-08T10:45:55Z
"So……Show us the backtracking 😂 pls. Btw I can’t stand Michael, but David is on another level of brain dead leftism.",2022-04-08T06:33:36Z
I find it hard to believe that 'definitions don't matter' in a legal setting. So every contract ever signed would be invalid because everyone has a different definition of the words on the page.,2022-04-08T06:03:30Z
Progressives hate women nothing more. This is the ultimate form of misogyny. Allowing men to cosplay as women. Making mockery of women.  Any woman that can just go along with this foolery that anything can be a woman dispite the biological difference you are part of the problem. Progressive policies will eventually undermine the same feminist that so called fought for these rights. Facts don't care about feelings sorry not sorry. A man can't be a woman and a woman can't be a man. You have gender disphoria you need help. Mutilating your bodies trying to indoctrinate children in your weird fantasies to get approval and validation of your existence. It's disgusting and down right evil. The same women who want to protect women's sports women's spaces are the same ones allowing it to get destroyed. You refuse to acknowledge facts over emotions. Hard data over how you feel one day or the next.,2022-04-08T05:21:17Z
This is a giant circle back. 😆 getting caught up on technicalities,2022-04-08T04:22:16Z
"Hello, Mr. Pakman.'Two things.'1) Good for you for attending this. I am being completely serious. Kudos to you.'2) Sir, the 'It doesn't go well' part in the title applies only to you. At so many points you tried to escape this particular debate by using the same strategy you claimed Jackson was using, (avoid giving an actual definition of a woman because that would put you in a delicate spot), and when that didn't work, you resorted to distort Knowles words when you said that he '... aserted that she said that she wanted the legal and philosophical definition...', (he didn't), then you acussed him of backtracking, (he didn't), and then of being dishonest, (he wasn't).'This indeed didn't go well for you, sir.''P.S.: '...we are talking man to man now...' Sir, you played yourself with this one.",2022-04-08T02:47:35Z
You are on the right side man. Dont be so confrontational. Educate those idiots. No need for being so reactionary. Fuck their questions and talk about what is important. They need to get out of the bubble,2022-04-07T23:39:19Z
Where was the progressive? I saw a crypto bro and a rightwing nut,2022-04-07T23:12:28Z
"Yep, asking you to define words, keeps the discussion away from the real topic. It's common in religion and on the right.",2022-04-07T22:16:34Z
She did confirm that it's biology...not in your head,2022-04-07T22:05:02Z
"Its Title III, Michael 🤓. You should have askd him to define what a man is, in man to man. I wonder if Judge Jackson will ever tell us her preferred pronouns..how can she ever know if she's not a biologist.",2022-04-07T21:40:39Z
