Comment,Time,Polarity,Sentiment,Subjectivity,Offensive?,Emotion
Отличная песня!,"2022-04-24
17:38:41",0.0,neutral,0.0,No,neutral
"Day 150 of me listening to Cold Heart everyday for 1 year as a tribute to my grandma'Today emoji 🌳","2022-04-24
17:32:48",0.6369,positive,0.8,Yes,neutral
THIS SONG JUST MAKES ME FEEL SO GOOD ❤️ IT'S SUCH A VIBE 😍,"2022-04-24
16:10:28",0.8616,positive,0.55,No,neutral
these trees xd,"2022-04-24
15:39:28",0.5859,positive,0.0,Yes,neutral
El tema es muy bueno pero el video es horrible  !,"2022-04-24
14:52:17",-0.5848,negative,1.0,No,fear
Arte,"2022-04-24
14:37:23",0.0,neutral,0.0,No,neutral
Love song ♥️🔥,"2022-04-24
14:35:10",0.7906,positive,0.6,No,love
this video is a drug trip.'A good one tho,"2022-04-24
13:18:39",0.4404,positive,0.6000000000000001,No,admiration
Dua Lipa super star 🇽🇰🇽🇰,"2022-04-24
12:11:02",0.5994,positive,0.6666666666666666,No,neutral
Благо дарю.,"2022-04-24
11:02:08",0.0,neutral,0.0,No,neutral
Elton John é atemporal e o nível musical dele supera. Salve!,"2022-04-24
10:55:06",0.0,neutral,0.0,No,neutral
"Best collab in the world . This is what everyone needed, but no one expected it.","2022-04-24
10:43:01",-0.0516,negative,0.35,No,admiration
Es la bomba y Dua Lipa mi nueva novia.'❤❤❤❤❤❤❤,"2022-04-24
10:15:32",0.9854,positive,0.0,No,neutral
Cool pjesma!,"2022-04-24
09:05:59",0.3802,positive,0.65,No,neutral
My opinion. Vote Macron&lt;3,"2022-04-24
08:08:42",0.0,neutral,0.0,No,curiosity
This is a disgrace,"2022-04-24
07:51:08",-0.4939,negative,0.0,No,disapproval
nice,"2022-04-24
06:03:58",0.4215,positive,1.0,No,admiration
Lsd ?,"2022-04-24
05:13:00",0.0,neutral,0.0,No,neutral
I freakin looooooove this song!!!!!,"2022-04-24
05:07:17",0.0,neutral,0.0,No,neutral
I wish  this version could be available on Spotify… 💔 (with the long intro),"2022-04-24
03:45:03",0.5859,positive,0.4,No,desire
Cool song best,"2022-04-24
02:57:46",0.7579,positive,0.475,No,admiration
Amazone ❤️😫😫😫,"2022-04-24
02:15:49",-0.8271,negative,0.0,No,neutral
"Buena cancion, video asqueroso por esos furros","2022-04-24
01:41:21",0.0,neutral,0.0,No,neutral
I'M LEVITATING !,"2022-04-24
01:35:27",0.0,neutral,0.0,No,neutral
Adorei,"2022-04-24
00:27:09",0.0,neutral,0.0,No,neutral
"Stream,stream,stream!!!!!!!","2022-04-24
00:15:02",0.0,neutral,0.0,No,neutral
"So beautiful; beautifully heartfelt natural sounds of tones of singing voice of Elton John.😘↗Love peace ' respect to Elton John for sharing beauty and talent of his, he has a few 🎵 musical joint that I love to listen to throughout the years.😘↗Peace ' respect to Elton John and Dua Lipa for attached 🎵 musical joint that sounds a lot like a remake of original done by Elton John some years ago.👌","2022-04-23
23:26:41",0.9946,positive,0.48125,No,admiration
Great!!,"2022-04-23
22:39:09",0.6892,positive,0.75,No,admiration
Bella cancion,"2022-04-23
21:07:39",0.0,neutral,0.0,No,neutral
Day 149 of me listening to Cold Heart everyday for 1 year as a tribute to my grandma'Today emoji 🪐,"2022-04-23
21:07:17",0.6369,positive,0.8,Yes,neutral
Awesome  song brilliant,"2022-04-23
19:50:37",0.836,positive,1.0,No,admiration
Dua's voice is magical!,"2022-04-23
19:48:41",0.625,positive,1.0,No,curiosity
"Cool to think that this song is made out of Rocket Man, Where’s the Shoorah, Sacrifice and Kiss the Bride.","2022-04-23
18:49:20",0.6249,positive,0.65,No,curiosity
Very good!  Ficou muito foda !!!,"2022-04-23
18:33:39",0.6554,positive,0.7800000000000001,No,admiration
היי,"2022-04-23
18:23:07",0.0,neutral,0.0,No,neutral
very good,"2022-04-23
18:20:25",0.4927,positive,0.7800000000000001,No,admiration
Amazing song 🇬🇷🇬🇷🇬🇷,"2022-04-23
18:04:37",0.5859,positive,0.9,No,admiration
This song takes us to a time when everything was better and the world was kinder. It's something magical.,"2022-04-23
17:39:18",0.7269,positive,0.75,No,neutral
Everytime I think of my late mum Samantha she loved this song,"2022-04-23
17:26:40",0.5994,positive,0.7,No,love
Mum RIP,"2022-04-23
17:25:51",0.0,neutral,0.0,No,disapproval
I love this song ♥️,"2022-04-23
16:12:09",0.8555,positive,0.6,No,love
"Ficou perfeito, só faltou caprichar no clip","2022-04-23
16:09:53",-0.296,negative,0.0,No,neutral
"SUPERBE,  j adore","2022-04-23
15:56:01",0.5574,positive,0.0,No,admiration
Пиздец трек жынды,"2022-04-23
14:31:41",0.0,neutral,0.0,No,neutral
ALLES GUT,"2022-04-23
14:08:15",0.0,neutral,0.0,No,neutral
i love it,"2022-04-23
13:55:18",0.6369,positive,0.6,No,love
Hermosa cancion no sro de escucharla.,"2022-04-23
13:25:11",-0.296,negative,0.0,No,neutral
Hermosa  casion  bendiciones  saludos  desde  la    cuidas  de  osorno  país    chile,"2022-04-23
13:01:46",0.0,neutral,0.0,No,neutral
Nome da música: Cold Heart'Eu procurando o nome da música: Coco Har.''Ainda bem que achei!,"2022-04-23
12:55:35",-0.75,negative,1.0,No,neutral
"Excelente!! Canción..ahora chequen esta versión romántica de la diosa del pop latino, THALÍA..'https://youtu.be/9r57IaG3LpY"">https://youtu.be/9r57IaG3LpY'","2022-04-23
10:59:58",0.0,neutral,0.0,No,neutral
"Trash, pure trash. Leave originals alone","2022-04-23
07:55:12",-0.296,negative,0.5,No,neutral
Один из лучших западных треков в 2021🔥,"2022-04-23
05:47:29",-0.34,negative,0.0,No,neutral
LOVE  FROM  INDIA 😍😘😘🔥🔥,"2022-04-23
05:11:01",0.8668,positive,0.6,No,love
Love it!!!🔥🔥🔥🔥,"2022-04-23
04:09:06",-0.6458,negative,0.6,No,love
Wow epically disappointed w the music video😂,"2022-04-23
03:14:44",0.5574,positive,0.875,No,surprise
imagine I discovered this song yesterday at a friend wedding. I Shazam it and at 4am I woke up to this song stuck in my DREAMS! I'm now listening to this song at 4am in the morning 😂😂,"2022-04-23
03:07:31",0.8939,positive,0.0,No,neutral
Me encanta💃🏻❤️‍🔥❤️‍🔥❤️‍🔥,"2022-04-23
01:55:31",-0.7351,negative,0.0,No,neutral
"Esta canción da una paz, una tranquilidad, te transporta a otro 🌎. 'Por canciones como estas entiendo porqué la vida es tan hermosa y me motiva a seguir adelante así el mundo se este desmoronando.'Gracias Elton John y Dua Lipa","2022-04-23
01:22:20",0.0,neutral,0.0,No,excitement
Oklahoma USA 🥂,"2022-04-23
01:04:49",0.0,neutral,0.0,No,neutral
bro la canción es linda en sí pero los muñecos dan miedo xd,"2022-04-23
00:16:57",0.5859,positive,0.0,No,neutral
"Matthew 7:5 Ooohhh its Elton John.....  I thought this was Enrique Iglesias. Best, X. Inn Jesus Name, Amen.","2022-04-23
00:10:25",0.6369,positive,0.3,No,admiration
Day 148 of me listening to Cold Heart everyday for 1 year as a tribute to my grandma'Today emoji 🤌,"2022-04-22
23:43:36",0.6369,positive,0.8,Yes,neutral
Ok but this music video tho 😍,"2022-04-22
21:40:38",0.6808,positive,0.5,No,neutral
23rd,"2022-04-22
21:33:38",0.0,neutral,0.0,No,disapproval
"Que feo esta el video, esos hombres que bailan que feos estan, muy mal gusto 🤮","2022-04-22
21:16:55",0.0,neutral,0.0,No,excitement
good song. bad videclip,"2022-04-22
20:06:00",-0.1531,negative,0.6333333333333333,Yes,confusion
Anybody noticed that is 2 songs? Rocket Man and Sacrifice. Great.,"2022-04-22
19:41:07",0.6249,positive,0.75,No,admiration
way to go Elton John!🙌❤😊,"2022-04-22
18:44:02",0.8883,positive,0.0,No,neutral
I qm demba and ı am fool and idiot,"2022-04-22
18:36:00",-0.7351,negative,0.8,No,anger
Girl bosses hate this song,"2022-04-22
18:27:40",-0.5719,negative,0.9,No,anger
vídeo is creepy,"2022-04-22
17:51:37",-0.5,negative,1.0,No,fear
"По всей видимости, клип делали под LSD","2022-04-22
17:36:45",0.0,neutral,0.0,No,neutral
The song is beautiful but the video is so so weird ..,"2022-04-22
16:58:57",-0.2344,negative,1.0,No,admiration
🙃(It's a human sing) ✨❤,"2022-04-22
16:09:24",0.7579,positive,0.1,No,admiration
Isto está muito bom,"2022-04-22
15:49:53",0.0,neutral,0.0,No,neutral
Im a rocket mannn!,"2022-04-22
15:44:28",0.0,neutral,0.0,Yes,neutral
My 1 year old LOVES this song and the music video he dances to eat every time 😄🥰,"2022-04-22
15:42:53",0.9534,positive,0.2,No,love
"A message to future generations' ''- Don't let this masterpiece die","2022-04-22
15:04:35",0.2441,positive,0.125,No,annoyance
Ilove this song.,"2022-04-22
13:18:16",0.0,neutral,0.0,No,neutral
Who are the four claymation dancers,"2022-04-22
10:18:29",0.0,neutral,0.0,No,neutral
Love this song it's oldskool made newschool only downside Dua and Elton didn't make a proper music video,"2022-04-22
09:58:56",0.4939,positive,0.5666666666666668,No,love
This song grew on me.finaly looked it up and saw it was done by SIR Elton John. My fav is BENNY AND THE JETS LIVE AND UNPLUGED and Candle in the wind.and now this,"2022-04-22
09:16:10",0.4588,positive,0.5,No,sadness
N8ive PRIDE!!!,"2022-04-22
09:08:42",0.6135,positive,0.0,No,pride
amazing,"2022-04-22
06:25:34",0.5859,positive,0.9,No,admiration
"This is what we need to straighten society out.  Just be cool and get along, much easier to live happy.","2022-04-22
05:07:19",0.8316,positive,0.5875,Yes,joy
"Hermosa canción, se merecía un video oficial de cálidad.. Video basura.","2022-04-22
04:38:30",0.0,neutral,0.0,No,neutral
Love music,"2022-04-22
04:14:32",0.6369,positive,0.6,No,love
Not bad at all,"2022-04-22
03:27:36",0.431,positive,0.6666666666666666,Yes,neutral
is like a Michel Gondry video,"2022-04-22
01:33:35",0.3612,positive,0.0,Yes,neutral
Kd o amei?? Tá lindo,"2022-04-22
01:21:31",0.0,neutral,0.0,No,neutral
Lots of Brasilian fans 😆,"2022-04-22
00:41:07",0.3612,positive,0.0,Yes,surprise
Hiiii guys,"2022-04-22
00:40:01",0.0,neutral,0.0,No,neutral
"The music: pure, good vibes'The music video: one hell of a trip","2022-04-21
23:59:40",0.4404,positive,0.55,No,admiration
deus ensaboe ❤️🔥,"2022-04-21
23:52:42",-0.34,negative,0.0,No,neutral
Eu amo essa música ❣️,"2022-04-21
23:40:53",0.6369,positive,0.0,No,neutral
"J’adore cette musique, elle me fait voyager dans une vibe vraiment cool 🤧❤️🔥","2022-04-21
23:20:59",-0.0258,neutral,0.65,No,neutral
"Found this randomly, more ironic dua Lipa animated looks just like my crush from work(well prob not anymore) I'm reminded of her everytime I see the video specially.","2022-04-21
22:05:17",0.0276,neutral,0.6571428571428571,Yes,admiration
Day 147 of me listening to Cold Heart everyday for 1 year as a tribute to my grandma'Today emoji 🌷,"2022-04-21
21:31:54",0.6369,positive,0.8,Yes,neutral
"Ihr könnt sagen was ihr wollt, der Song 7/10, aber das Musikvideo 2/10. Ich krieg Paranoia von dieses Musikvideo. Mit diesen Gummiartigen Charakter und plus dieses Gezeichnete Charakter, das passt einfach nicht.","2022-04-21
21:03:59",-0.25,negative,0.0,No,neutral
Shes not a rocket man or any other kind of man,"2022-04-21
20:55:28",0.2375,positive,0.6375,Yes,admiration
I heard this at the mall while shopping alone and I’m in love with it,"2022-04-21
20:12:38",0.4939,positive,0.6,Yes,love
"I bet a lot of people didn't know the last song, me neither lol. 'Where's The Shoorah?' by Elton John in 1976","2022-04-21
19:46:22",-0.3252,negative,0.3833333333333333,Yes,neutral
A mi bebe le encanta escuchar esta musica en el vientre se mueve al ritmo ya pronto llegara al mundo,"2022-04-21
19:22:23",0.0,neutral,0.0,No,excitement
I love it addicted,"2022-04-21
19:14:57",0.6369,positive,0.6,No,love
Jwjiwjk,"2022-04-21
18:50:04",0.0,neutral,0.0,No,neutral
LOVE the 70's vibe,"2022-04-21
18:35:58",0.7125,positive,0.6,No,love
Good song,"2022-04-21
18:17:11",0.4404,positive,0.6000000000000001,No,admiration
1wksksk,"2022-04-21
17:38:43",0.0,neutral,0.0,No,neutral
Es una realidad que es música netamente sub real de otra dimensión  mis oídos mi mente todo se sincronizan con este tema,"2022-04-21
16:24:25",0.2,positive,0.30000000000000004,No,neutral
GREAT SONG!,"2022-04-21
16:05:54",0.6588,positive,0.75,No,admiration
I loveeee  this music,"2022-04-21
15:54:57",0.0,neutral,0.0,No,amusement
The vintage touch in this song just touched my heart ❤️ ….. this song is on loop,"2022-04-21
15:40:13",0.6369,positive,0.0,No,neutral
"This song 🙌 whenever I wanna sing this is the only song that comes out of my mouth, um so addicted to this song.... this song is amazing","2022-04-21
14:39:26",0.5859,positive,0.8333333333333334,No,admiration
GREAT REMIX,"2022-04-21
14:06:38",0.6249,positive,0.75,No,admiration
"Tbh i'm not a fan of dua lipa, but actually i'm a fan of Elton John thanks to My mom, and i have to Say it, this a great song and i really enjoy it","2022-04-21
13:53:09",0.9566,positive,0.3875,Yes,admiration
cool song♥️♥️♥️🇧🇩🇧🇩🇧🇩🇧🇩🌹🌹🌹💐,"2022-04-21
13:47:28",0.9423,positive,0.65,No,neutral
Best thing to come out of 2021,"2022-04-21
13:30:14",0.6369,positive,0.3,Yes,admiration
"'Cold, cold heart' is my favorite part of the song 💕","2022-04-21
12:46:27",0.91,positive,1.0,No,love
"El corto aqui 'https://www.youtube.com/watch?v=pwk1xj3-3bE"">https://www.youtube.com/watch?v=pwk1xj3-3bE' y El Soundtrack 'https://www.youtube.com/watch?v=ewyW__dEEzA"">https://www.youtube.com/watch?v=ewyW__dEEzA'","2022-04-21
11:54:07",0.0,neutral,0.0,No,excitement
"My baby boy was born and this song was on radio all the timeeeeee.'Now, hes 7 months old and nastolgia hits me when I hear this, newborn days are the best","2022-04-21
08:12:32",0.6369,positive,0.25,No,neutral
Not really a fan of Elton but damn his voice is absolutely brilliant,"2022-04-21
08:01:36",0.3623,positive,0.6,Yes,curiosity
MSS 😎😎😎,"2022-04-21
07:01:19",0.8402,positive,0.0,No,neutral
I searched for Coco heart and found the song,"2022-04-21
06:31:43",0.6369,positive,0.0,No,neutral
dua lipa,"2022-04-21
06:20:50",0.0,neutral,0.0,No,neutral
"Elton John is legend.  Forever.. I mean...ijs.. it's true tbo...Crocodile Rock on the 45 , yrs old.. bet. 😉","2022-04-21
05:36:21",0.4215,positive,0.42500000000000004,Yes,neutral
This music video has it all!,"2022-04-21
03:16:07",0.0,neutral,0.0,No,amusement
video not doing it for me,"2022-04-21
02:19:13",0.0,neutral,0.0,No,neutral
Seems the Big Mom's Island,"2022-04-21
01:32:37",0.0,neutral,0.1,No,neutral
love the music,"2022-04-21
00:24:00",0.6369,positive,0.6,No,love
"ESSA MÚSICA TEM UMA VIBE TÃO INCRÍVEL, EU AMO DEMAIS!!!","2022-04-21
00:09:47",0.0,neutral,0.0,Yes,neutral
